,COUNT,mid_x,mid_y,mid_z,Ag_ppm_BESTEL,NBKRT,AG_SUBZONAS,HOLEID,CAPVAL1_PY,CAPPED1_PY,CAPVAL2_PY,CAPPED2_PY,CAPVAL3_PY,CAPPED3_PY,CAPVAL4_PY,CAPPED4_PY,CAPVAL5_PY,CAPPED5_PY,CAPVAL6_PY,CAPPED6_PY,AvgSin_PY,PROP_12_PY,Num_Data_PY,EXPAN_PY,EVALUADO_PY
115,7052,3552.9515,4683.3252,4139.6151,117.317642,32,41,A060,117.317642,0,117.317642,0,117.317642,0,117.317642,0,117.317642,0,117.317642,0,0.0,0.0,0,0,0
116,7164,3822.7913,4814.4253,4199.8413,10.946667,31,41,A062,10.946667,0,10.946667,0,10.946667,0,10.946667,0,10.946667,0,10.946667,0,17.740317428571426,0.029383344421071805,21,3,1
117,7173,3833.4343,4803.2334,4177.6951,11.14,31,41,A062,11.14,0,11.14,0,11.14,0,11.14,0,11.14,0,11.14,0,10.684101190476191,0.04965098898062263,21,2,1
118,7174,3834.6317,4801.9742,4175.2496,11.42,31,41,A062,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,8.524418714285714,0.06379432334760567,21,2,1
119,7175,3835.8321,4800.7119,4172.8071,8.66,31,41,A062,8.66,0,8.66,0,8.66,0,8.66,0,8.66,0,8.66,0,8.198148904761904,0.05030171532276273,21,2,1
120,7176,3837.0355,4799.4465,4170.3678,12.72,31,41,A062,12.72,0,12.72,0,12.72,0,12.72,0,12.72,0,12.72,0,9.276799666666665,0.065293453289795,21,2,1
121,7177,3838.2419,4798.1779,4167.9315,14.0,31,41,A062,14.0,0,14.0,0,14.0,0,14.0,0,14.0,0,14.0,0,9.621879,0.06928653609826799,21,2,1
122,7195,3859.7859,4775.5228,4125.8821,7.366667,31,42,A062,7.366667,0,7.366667,0,7.366667,0,7.366667,0,7.366667,0,7.366667,0,0.0,0.0,0,0,0
123,7196,3861.0462,4774.1975,4123.5041,3.433333,31,42,A062,3.433333,0,3.433333,0,3.433333,0,3.433333,0,3.433333,0,3.433333,0,0.0,0.0,0,0,0
124,7197,3862.3093,4772.8692,4121.1292,8.56,31,42,A062,8.56,0,8.56,0,8.56,0,8.56,0,8.56,0,8.56,0,0.0,0.0,0,0,0
125,7198,3863.8712,4771.2268,4118.2047,6.009091,31,42,A062,6.009091,0,6.009091,0,6.009091,0,6.009091,0,6.009091,0,6.009091,0,0.0,0.0,0,0,0
