mid_x,mid_y,mid_z,Ag_ppm_BESTEL,NBKRT,AG_SUBZONAS,HOLEID,x_rot,y_rot,z_rot,CAP1_P,CPD1_P,CAP2_P,CPD2_P,CAP3_P,CPD3_P,CAP4_P,CPD4_P,CAP5_P,CPD5_P,CAP6_P,CPD6_P,AVG_SN_P,AVG_CN_P,PROP_SN_P,PROP_CN_P,EVAL_P,NCOMP_P,NXPAN_P
3879.0,4755.0,4090.0,17.0,31,42,A062,0.0,0.0,0,17.0,0,17.0,0,17.0,0,17.0,0,17.0,0,17.0,0,0,0,0,0,0,0,0
3881.0,4753.0,4087.0,17.0,31,42,A062,0.0,0.0,0,17.0,0,17.0,0,17.0,0,17.0,0,17.0,0,17.0,0,0,0,0,0,0,0,0
3882.0,4752.0,4085.0,5.0,32,42,A062,0.0,0.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,0,0,0,0,0,0,0
3884.0,4750.0,4082.0,4.0,32,42,A062,0.0,0.0,0,4.0,0,4.0,0,4.0,0,4.0,0,4.0,0,4.0,0,0,0,0,0,0,0,0
3885.0,4749.0,4079.0,5.0,31,42,A062,0.0,0.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,0,0,0,0,0,0,0
3887.0,4747.0,4077.0,25.0,32,42,A062,0.0,0.0,0,25.0,0,25.0,0,25.0,0,25.0,0,25.0,0,25.0,0,0,0,0,0,0,0,0
3888.0,4746.0,4074.0,22.0,32,42,A062,0.0,0.0,0,22.0,0,22.0,0,22.0,0,22.0,0,22.0,0,22.0,0,0,0,0,0,0,0,0
3889.0,4745.0,4072.0,22.0,32,42,A062,0.0,0.0,0,22.0,0,22.0,0,22.0,0,22.0,0,22.0,0,22.0,0,0,0,0,0,0,0,0
4229.0,5117.0,4009.0,12.0,31,42,A066,0.0,0.0,0,12.0,0,12.0,0,12.0,0,12.0,0,12.0,0,12.0,0,0,0,0,0,0,0,0
4231.0,5115.0,4007.0,9.0,31,42,A066,0.0,0.0,0,9.0,0,9.0,0,9.0,0,9.0,0,9.0,0,9.0,0,0,0,0,0,0,0,0
